,Source,Target,Weight,Type
1,tpc_ch1,tpc_ch14,1,undirected
2,tpc_ch1,tpc_ch15,3,undirected
3,tpc_ch1,tpc_ch2,3,undirected
4,tpc_ch1,tpc_ch5,3,undirected
5,tpc_ch10,tpc_ch12,2,undirected
6,tpc_ch10,tpc_ch6,1,undirected
7,tpc_ch10,tpc_ch9,4,undirected
8,tpc_ch11,tpc_ch12,3,undirected
9,tpc_ch11,tpc_ch14,1,undirected
10,tpc_ch11,tpc_ch2,2,undirected
11,tpc_ch12,tpc_ch10,2,undirected
12,tpc_ch12,tpc_ch11,3,undirected
13,tpc_ch12,tpc_ch13,3,undirected
14,tpc_ch12,tpc_ch14,2,undirected
15,tpc_ch12,tpc_ch2,3,undirected
16,tpc_ch12,tpc_ch3,3,undirected
17,tpc_ch12,tpc_ch4,5,undirected
18,tpc_ch12,tpc_ch5,5,undirected
19,tpc_ch12,tpc_ch6,3,undirected
20,tpc_ch12,tpc_ch7,3,undirected
21,tpc_ch12,tpc_ch8,1,undirected
22,tpc_ch12,tpc_ch9,3,undirected
23,tpc_ch13,tpc_ch12,3,undirected
24,tpc_ch13,tpc_ch5,2,undirected
25,tpc_ch13,tpc_ch6,1,undirected
26,tpc_ch14,tpc_ch1,1,undirected
27,tpc_ch14,tpc_ch11,1,undirected
28,tpc_ch14,tpc_ch12,2,undirected
29,tpc_ch14,tpc_ch15,2,undirected
30,tpc_ch14,tpc_ch2,4,undirected
31,tpc_ch14,tpc_ch4,2,undirected
32,tpc_ch15,tpc_ch1,3,undirected
33,tpc_ch15,tpc_ch14,2,undirected
34,tpc_ch15,tpc_ch2,1,undirected
35,tpc_ch2,tpc_ch1,3,undirected
36,tpc_ch2,tpc_ch11,2,undirected
37,tpc_ch2,tpc_ch12,3,undirected
38,tpc_ch2,tpc_ch14,4,undirected
39,tpc_ch2,tpc_ch15,1,undirected
40,tpc_ch2,tpc_ch3,3,undirected
41,tpc_ch2,tpc_ch5,2,undirected
42,tpc_ch2,tpc_ch6,1,undirected
43,tpc_ch2,tpc_ch7,2,undirected
44,tpc_ch2,tpc_ch8,3,undirected
45,tpc_ch2,tpc_ch9,2,undirected
46,tpc_ch3,tpc_ch12,3,undirected
47,tpc_ch3,tpc_ch2,3,undirected
48,tpc_ch3,tpc_ch4,6,undirected
49,tpc_ch3,tpc_ch6,2,undirected
50,tpc_ch4,tpc_ch12,5,undirected
51,tpc_ch4,tpc_ch14,2,undirected
52,tpc_ch4,tpc_ch3,6,undirected
53,tpc_ch5,tpc_ch1,3,undirected
54,tpc_ch5,tpc_ch12,5,undirected
55,tpc_ch5,tpc_ch13,2,undirected
56,tpc_ch5,tpc_ch2,2,undirected
57,tpc_ch5,tpc_ch7,1,undirected
58,tpc_ch6,tpc_ch10,1,undirected
59,tpc_ch6,tpc_ch12,3,undirected
60,tpc_ch6,tpc_ch13,1,undirected
61,tpc_ch6,tpc_ch2,1,undirected
62,tpc_ch6,tpc_ch3,2,undirected
63,tpc_ch6,tpc_ch8,2,undirected
64,tpc_ch7,tpc_ch12,3,undirected
65,tpc_ch7,tpc_ch2,2,undirected
66,tpc_ch7,tpc_ch5,1,undirected
67,tpc_ch8,tpc_ch12,1,undirected
68,tpc_ch8,tpc_ch2,3,undirected
69,tpc_ch8,tpc_ch6,2,undirected
70,tpc_ch9,tpc_ch10,4,undirected
71,tpc_ch9,tpc_ch12,3,undirected
72,tpc_ch9,tpc_ch2,2,undirected
